round,best_cost,valid,prompt_version,prompt_tokens,completion_tokens,cached_tokens,total_tokens
1,583.11,1,1,560,46,159,606
2,583.11,1,1,672,46,385,718
3,534.36,1,1,777,46,438,823
4,534.36,1,1,829,46,399,875
5,514.46,1,1,881,46,452,927
6,514.46,1,1,933,46,415,979
7,514.46,1,1,933,46,468,979
8,514.46,1,1,933,46,521,979
9,514.46,1,1,933,70,574,1003
10,514.46,1,2,933,46,687,979
11,501.37,1,2,926,46,35,972
12,501.37,1,2,926,46,380,972
13,501.37,1,2,926,46,433,972
14,501.37,1,2,926,46,486,972
15,501.37,1,2,926,46,539,972
16,501.37,1,2,926,46,592,972
17,501.37,1,2,926,46,925,972
18,501.37,1,2,926,46,860,972
19,501.37,1,2,926,46,808,972
20,501.37,1,3,926,46,756,972
21,501.37,1,3,931,46,39,977
22,501.37,1,3,931,46,657,977
23,501.37,1,3,931,46,655,977
24,501.37,1,3,931,46,709,977
25,501.37,1,3,931,46,930,977
26,501.37,1,3,931,46,867,977
27,501.37,1,3,931,46,815,977
28,501.37,1,3,931,46,763,977
29,501.37,1,3,931,46,711,977
30,501.37,1,4,931,46,659,977
31,501.37,1,4,936,46,36,982
32,501.37,1,4,936,46,714,982
33,501.37,1,4,936,46,662,982
34,501.37,1,4,936,46,766,982
35,501.37,1,4,936,46,935,982
36,501.37,1,4,936,46,935,982
37,501.37,1,4,936,46,935,982
38,501.37,1,4,936,46,935,982
39,501.37,1,4,936,46,872,982
40,501.37,1,5,936,46,820,982
41,501.37,1,5,939,46,39,985
42,501.37,1,5,939,46,719,985
43,501.37,1,5,939,46,667,985
44,501.37,1,5,938,46,771,984
45,501.37,1,5,938,46,823,984
46,501.37,1,5,938,46,781,984
47,501.37,1,5,938,46,729,984
48,501.37,1,5,938,46,677,984
49,501.37,1,5,939,46,875,985
50,501.37,1,5,939,46,938,985
