seed,lmea_init,lmea_final,lmea_improve_pct,opro_init,opro_final,opro_improve_pct,opro_final_minus_lmea_final,opro_valid_rate,lmea_valid_rate
1,793.65,465.58,41.34,1002.13,508.71,49.24,43.13,1.0,0.57
2,916.83,451.43,50.76,1003.07,485.58,51.59,34.15,1.0,0.54
3,872.77,401.71,53.97,1026.08,458.97,55.27,57.26,1.0,0.568
4,856.94,447.11,47.82,996.71,455.26,54.32,8.15,1.0,0.552
5,973.79,404.31,58.48,1195.13,523.64,56.19,119.33,1.0,0.576
6,722.14,346.52,52.01,827.86,490.44,40.76,143.92,0.96,0.57
7,945.34,374.84,60.35,972.55,418.58,56.96,43.74,1.0,0.5405
8,748.48,404.06,46.02,940.91,431.98,54.09,27.92,1.0,0.562
9,686.8,388.43,43.44,1084.24,414.89,61.73,26.46,1.0,0.586
10,832.27,510.18,38.7,904.33,578.82,35.99,68.64,1.0,0.536
11,882.09,593.42,32.73,1004.17,509.53,49.26,-83.89,1.0,0.564
12,864.23,404.44,53.2,972.64,527.76,45.74,123.32,1.0,0.582
13,860.58,402.33,53.25,1018.7,474.38,53.43,72.05,1.0,0.582
14,,,,898.63,378.37,57.89,,1.0,
15,,,,927.57,550.43,40.66,,1.0,
16,,,,938.31,399.25,57.45,,1.0,
17,,,,1169.34,470.24,59.79,,1.0,
18,,,,816.78,518.03,36.58,,1.0,
19,,,,952.31,461.83,51.5,,1.0,
20,,,,1100.9,501.37,54.46,,1.0,
